proposal,skill,mapper_payload
v0_050_india___thailand_joint_call_for_proposals,urban,"[['H.5.2'], ['User Interfaces (D.2.2, H.1.2, I.3.6)', 'Auditory (non-speech) feedback (NEW)', 'Benchmarking (NEW)', 'Ergonomics', 'Evaluation/methodology', 'Graphical user interfaces (GUI) (NEW)', 'Haptic I/O (NEW)', 'Input devices and strategies (e.g., mouse, touchscreen)', 'Interaction styles (e.g., commands, menus, forms, direct manipulation)', 'Natural language (NEW)', 'Prototyping (NEW)', 'Screen design (e.g., text, graphics, color)', 'Standardization (NEW)', 'Style guides (NEW)', 'Theory and methods', 'Training, help, and documentation', 'User-centered design (NEW)', 'User interface management systems (UIMS)', 'Voice I/O (NEW)', 'Windowing systems'], ['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']]"
v0_051_dst_science_technology_and_innovation_policy_fellowships,decade,"[['D.2.2'], ['Design Tools and Techniques (REVISED)', 'Computer-aided software engineering (CASE)', 'Decision tables', 'Evolutionary prototyping (NEW)', 'Flow charts', 'Modules and interfaces', 'Object-oriented design methods (NEW)', 'Petri nets', 'Programmer workbench**', 'Software libraries', 'State diagrams (NEW)', 'Structured programming**', 'Top-down programming**', 'User interfaces'], ['design tool technique revised', 'computeraided software engineering case', 'decision table', 'evolutionary prototyping new', 'flow chart', 'module interface', 'objectoriented design method new', 'petri net', 'programmer workbench', 'software library', 'state diagram new', 'structured programming', 'topdown programming', 'user interface']]"
v0_051_dst_science_technology_and_innovation_policy_fellowships,input,"[['D.3.3', 'D.4.4'], ['Language Constructs and Features (E.2)', 'Abstract data types', 'Classes and objects (NEW)', 'Concurrent programming structures', 'Constraints (NEW)', 'Control structures', 'Coroutines', 'Data types and structures', 'Dynamic storage management', 'Frameworks (NEW)', 'Inheritance (NEW)', 'Input/output', 'Modules, packages', 'Patterns (NEW)', 'Polymorphism (NEW)', 'Procedures, functions, and subroutines', 'Recursion', 'Communications Management (C.2)', 'Buffering', 'Input/output', 'Message sending', 'Network communication', 'Terminal management**'], ['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion', 'communication management', 'buffering', 'inputoutput', 'message sending', 'network communication', 'terminal management']]"
v0_052_dst_daad_2018_call_for_personal_exchanges_between_india_and_germany,general,"[['C.5.0', 'B.7.0', 'I.1.0', 'D.4.0', 'F.0', 'K.8.0', 'C.2.0', 'D.2.0', 'I.5.0', 'F.1.0', 'A.0', 'D.0', 'I.4.0', 'C.0', 'H.4.0', 'B.6.0', 'G.1.0', 'K.6.0', 'B.2.0', 'I.2.0', 'B.4.0', 'D.1.0', 'B.1.0', 'K.5.0', 'K.7.0', 'B.3.0', 'I.0', 'F.2.0', 'C.1.0', 'K.0', 'I.6.0', 'H.2.0', 'F.3.0', 'K.4.0', 'I.3.0', 'G.2.0', 'B.5.0', 'H.5.0', 'F.4.0', 'I.7.0', 'G.0', 'J.0', 'H.3.0', 'B.0', 'E.0', 'H.0', 'H.1.0', 'D.3.0', 'K.3.0'], ['General', 'General', 'General', 'General', 'GENERAL', 'General', 'Games', 'General', 'Data communications', 'Open Systems Interconnection reference model (OSI)', 'Security and protection (e.g., firewalls) (REVISED)', 'General (K.5.1)', 'Protection mechanisms', 'Standards', 'General', 'General', 'GENERAL', 'Biographies/autobiographies', 'Conference proceedings', 'General literary works (e.g., fiction, plays)', 'GENERAL', 'General', 'Image displays', 'Image processing software', 'GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology', 'General', 'General', 'General', 'Computer arithmetic', 'Conditioning (and ill-conditioning) (REVISED)', 'Error analysis', 'Interval arithmetic (NEW)', 'Multiple precision arithmetic (NEW)', 'Numerical algorithms', 'Parallel algorithms', 'Stability (and instability)', 'General', 'Economics', 'General', 'General', 'Cognitive simulation', 'Philosophical foundations', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'General', 'General', 'GENERAL', 'General', 'General', 'Security, integrity, and protection**', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'GENERAL', 'General', 'GENERAL', 'GENERAL', 'GENERAL', 'General', 'General', 'Standards', 'General'], ['general', 'general', 'general', 'general', 'general', 'general', 'game', 'general', 'data communication', 'open system interconnection reference model osi', 'security protection eg firewall revised', 'general', 'protection mechanism', 'standard', 'general', 'general', 'general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play', 'general', 'general', 'image display', 'image processing software', 'general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology', 'general', 'general', 'general', 'computer arithmetic', 'conditioning illconditioning revised', 'error analysis', 'interval arithmetic new', 'multiple precision arithmetic new', 'numerical algorithm', 'parallel algorithm', 'stability instability', 'general', 'economics', 'general', 'general', 'cognitive simulation', 'philosophical foundation', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'security integrity protection', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'standard', 'general']]"
v0_053_joint_call_for_project_proposals_2018___indo_danish_research_and_innovation_cooperation_in_the_areas_of_renewable_energy,efficiency,"[['H.3.4'], ['Systems and Software', 'Current awareness systems (selective dissemination of information--SDI)**', 'Distributed systems (NEW)', 'Information networks', 'Performance evaluation (efficiency and effectiveness) (NEW)', 'Question-answering (fact retrieval) systems**', 'User profiles and alert services (NEW)'], ['system software', 'current awareness system selective dissemination informationsdi', 'distributed system new', 'information network', 'performance evaluation efficiency effectiveness new', 'questionanswering fact retrieval system', 'user profile alert service new']]"
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,algae,"[['I.5.3', 'I.1.2'], ['Clustering', 'Algorithms', 'Similarity measures', 'Algorithms (F.2.1-2)', 'Algebraic algorithms', 'Analysis of algorithms', 'Nonalgebraic algorithms'], ['clustering', 'algorithm', 'similarity measure', 'algorithm', 'algebraic algorithm', 'analysis algorithm', 'nonalgebraic algorithm']]"
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,biomass,"[['A.0'], ['GENERAL', 'Biographies/autobiographies', 'Conference proceedings', 'General literary works (e.g., fiction, plays)'], ['general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play']]"
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,design,"[['B.5.1', 'D.2.10'], ['Design', 'Arithmetic and logic units', 'Control design', 'Data-path design', 'Memory design', 'Styles (e.g., parallel, pipeline, special-purpose)', 'Design** (D.2.2)', 'Methodologies**', 'Representation**'], ['design', 'arithmetic logic unit', 'control design', 'datapath design', 'memory design', 'style eg parallel pipeline specialpurpose', 'design', 'methodology', 'representation']]"
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_054_funding_opportunity_announcement_foa_in_converting_sunlight_to_storable_fuels_energyrich_chemicals_and_biochemicals_ic5,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_055_india_belarus_joint_call_for_proposals,environment,"[['I.6.7'], ['Simulation Support Systems', 'Environments'], ['simulation support system', 'environment']]"
v0_055_india_belarus_joint_call_for_proposals,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_056_call_for_enrollment_of_desalination_solution_providers,use,"[['H.3.7', 'H.5.4'], ['Digital Libraries (NEW)', 'Collection (NEW)', 'Dissemination (NEW)', 'Standards (NEW)', 'Systems issues (NEW)', 'User issues (NEW)', 'Hypertext/Hypermedia (I.7, J.7) (NEW)', 'Architectures (NEW)', 'Navigation (NEW)', 'Theory (NEW)', 'User issues (NEW)'], ['digital library new', 'collection new', 'dissemination new', 'standard new', 'system issue new', 'user issue new', 'hypertexthypermedia new', 'architecture new', 'navigation new', 'theory new', 'user issue new']]"
v0_057_india_japan_cooperative_science_programme_ijcsp,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_057_india_japan_cooperative_science_programme_ijcsp,fundamental,"[['D.3.3'], ['Language Constructs and Features (E.2)', 'Abstract data types', 'Classes and objects (NEW)', 'Concurrent programming structures', 'Constraints (NEW)', 'Control structures', 'Coroutines', 'Data types and structures', 'Dynamic storage management', 'Frameworks (NEW)', 'Inheritance (NEW)', 'Input/output', 'Modules, packages', 'Patterns (NEW)', 'Polymorphism (NEW)', 'Procedures, functions, and subroutines', 'Recursion'], ['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']]"
v0_057_india_japan_cooperative_science_programme_ijcsp,global warming,"[['G.1.6'], ['Optimization', 'Constrained optimization', 'Convex programming (NEW)', 'Global optimization (NEW)', 'Gradient methods', 'Integer programming', 'Least squares methods', 'Linear programming', 'Nonlinear programming', 'Quadratic programming methods (NEW)', 'Simulated annealing (NEW)', 'Stochastic programming (NEW)', 'Unconstrained optimization (NEW)'], ['optimization', 'constrained optimization', 'convex programming new', 'global optimization new', 'gradient method', 'integer programming', 'least square method', 'linear programming', 'nonlinear programming', 'quadratic programming method new', 'simulated annealing new', 'stochastic programming new', 'unconstrained optimization new']]"
v0_057_india_japan_cooperative_science_programme_ijcsp,machine learning,"[['I.2.7'], ['Natural Language Processing', 'Discourse', 'Language generation', 'Language models', 'Language parsing and understanding', 'Machine translation', 'Speech recognition and synthesis', 'Text analysis'], ['natural language processing', 'discourse', 'language generation', 'language model', 'language parsing understanding', 'machine translation', 'speech recognition synthesis', 'text analysis']]"
v0_057_india_japan_cooperative_science_programme_ijcsp,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_057_india_japan_cooperative_science_programme_ijcsp,polymer,"[['D.3.3'], ['Language Constructs and Features (E.2)', 'Abstract data types', 'Classes and objects (NEW)', 'Concurrent programming structures', 'Constraints (NEW)', 'Control structures', 'Coroutines', 'Data types and structures', 'Dynamic storage management', 'Frameworks (NEW)', 'Inheritance (NEW)', 'Input/output', 'Modules, packages', 'Patterns (NEW)', 'Polymorphism (NEW)', 'Procedures, functions, and subroutines', 'Recursion'], ['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']]"
v0_057_india_japan_cooperative_science_programme_ijcsp,synthesis,"[['D.3.1'], ['Formal Definitions and Theory (D.2.1, F.3.1-2, F.4.2-3)', 'Semantics', 'Syntax'], ['formal definition theory', 'semantics', 'syntax']]"
v0_058_dst_nwo_joint_call_on_urban_water_systems,city,"[['C.0'], ['GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology'], ['general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology']]"
v0_058_dst_nwo_joint_call_on_urban_water_systems,design,"[['B.5.1', 'D.2.10'], ['Design', 'Arithmetic and logic units', 'Control design', 'Data-path design', 'Memory design', 'Styles (e.g., parallel, pipeline, special-purpose)', 'Design** (D.2.2)', 'Methodologies**', 'Representation**'], ['design', 'arithmetic logic unit', 'control design', 'datapath design', 'memory design', 'style eg parallel pipeline specialpurpose', 'design', 'methodology', 'representation']]"
v0_058_dst_nwo_joint_call_on_urban_water_systems,expression,"[['I.1.1'], ['Expressions and Their Representation (E.1-2)', 'Representations (general and polynomial)', 'Simplification of expressions'], ['expression representation', 'representation general polynomial', 'simplification expression']]"
v0_058_dst_nwo_joint_call_on_urban_water_systems,urban,"[['H.5.2'], ['User Interfaces (D.2.2, H.1.2, I.3.6)', 'Auditory (non-speech) feedback (NEW)', 'Benchmarking (NEW)', 'Ergonomics', 'Evaluation/methodology', 'Graphical user interfaces (GUI) (NEW)', 'Haptic I/O (NEW)', 'Input devices and strategies (e.g., mouse, touchscreen)', 'Interaction styles (e.g., commands, menus, forms, direct manipulation)', 'Natural language (NEW)', 'Prototyping (NEW)', 'Screen design (e.g., text, graphics, color)', 'Standardization (NEW)', 'Style guides (NEW)', 'Theory and methods', 'Training, help, and documentation', 'User-centered design (NEW)', 'User interface management systems (UIMS)', 'Voice I/O (NEW)', 'Windowing systems'], ['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']]"
v0_059_indo_russian_joint_research_call_for_proposals_2018,agricultural,"[['C.2.1', 'C.2.5'], ['Network Architecture and Design', 'Asynchronous Transfer Mode (ATM) (NEW)', 'Centralized networks**', 'Circuit-switching networks', 'Distributed networks', 'Frame relay networks (NEW)', 'ISDN (Integrated Services Digital Network)', 'Network communications', 'Network topology', 'Packet-switching networks (REVISED)', 'Store and forward networks', 'Wireless communication (NEW)', 'Local and Wide-Area Networks (REVISED)', 'Access schemes', 'Buses'], ['network architecture design', 'asynchronous transfer mode atm new', 'centralized network', 'circuitswitching network', 'distributed network', 'frame relay network new', 'isdn integrated service digital network', 'network communication', 'network topology', 'packetswitching network revised', 'store forward network', 'wireless communication new', 'local widearea network revised', 'access scheme', 'bus']]"
v0_059_indo_russian_joint_research_call_for_proposals_2018,computer,"[['I.5.4'], ['Applications', 'Computer vision', 'Signal processing', 'Text processing', 'Waveform analysis'], ['application', 'computer vision', 'signal processing', 'text processing', 'waveform analysis']]"
v0_059_indo_russian_joint_research_call_for_proposals_2018,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_059_indo_russian_joint_research_call_for_proposals_2018,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,cost effectiveness,"[['D.2.9'], ['Management (K.6.3, K.6.4)', 'Copyrights**', 'Cost estimation', 'Life cycle', 'Productivity', 'Programming teams', 'Software configuration management', 'Software process models (e.g., CMM, ISO, PSP) (NEW)', 'Software quality assurance (SQA)', 'Time estimation'], ['management', 'copyright', 'cost estimation', 'life cycle', 'productivity', 'programming team', 'software configuration management', 'software process model eg cmm iso psp new', 'software quality assurance sqa', 'time estimation']]"
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,efficiency,"[['H.3.4'], ['Systems and Software', 'Current awareness systems (selective dissemination of information--SDI)**', 'Distributed systems (NEW)', 'Information networks', 'Performance evaluation (efficiency and effectiveness) (NEW)', 'Question-answering (fact retrieval) systems**', 'User profiles and alert services (NEW)'], ['system software', 'current awareness system selective dissemination informationsdi', 'distributed system new', 'information network', 'performance evaluation efficiency effectiveness new', 'questionanswering fact retrieval system', 'user profile alert service new']]"
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,material,"[['G.1.3'], ['Numerical Linear Algebra', 'Conditioning', 'Determinants**', 'Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', 'Error analysis', 'Linear systems (direct and iterative methods)', 'Matrix inversion', 'Pseudoinverses**', 'Singular value decomposition (NEW)', 'Sparse, structured, and very large systems (direct and iterative methods) (REVISED)'], ['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']]"
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,model,"[['I.5.1'], ['Models', 'Deterministic**', 'Fuzzy set', 'Geometric', 'Neural nets', 'Statistical', 'Structural'], ['model', 'deterministic', 'fuzzy set', 'geometric', 'neural net', 'statistical', 'structural']]"
v0_060_funding_opportunity_announcement_foa_in_carbon_capture_innovation_challenge_ic3,polymer,"[['D.3.3'], ['Language Constructs and Features (E.2)', 'Abstract data types', 'Classes and objects (NEW)', 'Concurrent programming structures', 'Constraints (NEW)', 'Control structures', 'Coroutines', 'Data types and structures', 'Dynamic storage management', 'Frameworks (NEW)', 'Inheritance (NEW)', 'Input/output', 'Modules, packages', 'Patterns (NEW)', 'Polymorphism (NEW)', 'Procedures, functions, and subroutines', 'Recursion'], ['language construct feature', 'abstract data type', 'class object new', 'concurrent programming structure', 'constraint new', 'control structure', 'coroutines', 'data type structure', 'dynamic storage management', 'framework new', 'inheritance new', 'inputoutput', 'module package', 'pattern new', 'polymorphism new', 'procedure function subroutine', 'recursion']]"
v0_061_call_for_rd_project_proposals_from_indian_pharma_industrynational_laboratoriesacademic_institutions,case,"[['D.2.2'], ['Design Tools and Techniques (REVISED)', 'Computer-aided software engineering (CASE)', 'Decision tables', 'Evolutionary prototyping (NEW)', 'Flow charts', 'Modules and interfaces', 'Object-oriented design methods (NEW)', 'Petri nets', 'Programmer workbench**', 'Software libraries', 'State diagrams (NEW)', 'Structured programming**', 'Top-down programming**', 'User interfaces'], ['design tool technique revised', 'computeraided software engineering case', 'decision table', 'evolutionary prototyping new', 'flow chart', 'module interface', 'objectoriented design method new', 'petri net', 'programmer workbench', 'software library', 'state diagram new', 'structured programming', 'topdown programming', 'user interface']]"
v0_061_call_for_rd_project_proposals_from_indian_pharma_industrynational_laboratoriesacademic_institutions,facility,"[['F.2.1'], ['Numerical Algorithms and Problems (G.1, G.4, I.1)', 'Computation of transforms (e.g., fast Fourier transform)', 'Computations in finite fields', 'Computations on matrices', 'Computations on polynomials', 'Number-theoretic computations (e.g., factoring, primality testing)'], ['numerical algorithm problem', 'computation transforms eg fast fourier transform', 'computation finite field', 'computation matrix', 'computation polynomial', 'numbertheoretic computation eg factoring primality testing']]"
v0_062_dst_cnrs_france_joint_call_for_proposals,engineering,"[['J.2'], ['PHYSICAL SCIENCES AND ENGINEERING', 'Aerospace', 'Archaeology (NEW)', 'Astronomy', 'Chemistry', 'Earth and atmospheric sciences', 'Electronics', 'Engineering', 'Mathematics and statistics', 'Physics'], ['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']]"
v0_063_call_for_entries___awsar_programme,general,"[['C.5.0', 'B.7.0', 'I.1.0', 'D.4.0', 'F.0', 'K.8.0', 'C.2.0', 'D.2.0', 'I.5.0', 'F.1.0', 'A.0', 'D.0', 'I.4.0', 'C.0', 'H.4.0', 'B.6.0', 'G.1.0', 'K.6.0', 'B.2.0', 'I.2.0', 'B.4.0', 'D.1.0', 'B.1.0', 'K.5.0', 'K.7.0', 'B.3.0', 'I.0', 'F.2.0', 'C.1.0', 'K.0', 'I.6.0', 'H.2.0', 'F.3.0', 'K.4.0', 'I.3.0', 'G.2.0', 'B.5.0', 'H.5.0', 'F.4.0', 'I.7.0', 'G.0', 'J.0', 'H.3.0', 'B.0', 'E.0', 'H.0', 'H.1.0', 'D.3.0', 'K.3.0'], ['General', 'General', 'General', 'General', 'GENERAL', 'General', 'Games', 'General', 'Data communications', 'Open Systems Interconnection reference model (OSI)', 'Security and protection (e.g., firewalls) (REVISED)', 'General (K.5.1)', 'Protection mechanisms', 'Standards', 'General', 'General', 'GENERAL', 'Biographies/autobiographies', 'Conference proceedings', 'General literary works (e.g., fiction, plays)', 'GENERAL', 'General', 'Image displays', 'Image processing software', 'GENERAL', 'Hardware/software interfaces', 'Instruction set design (e.g., RISC, CISC, VLIW) (REVISED)', 'Modeling of computer architecture (NEW)', 'System architectures', 'Systems specification methodology', 'General', 'General', 'General', 'Computer arithmetic', 'Conditioning (and ill-conditioning) (REVISED)', 'Error analysis', 'Interval arithmetic (NEW)', 'Multiple precision arithmetic (NEW)', 'Numerical algorithms', 'Parallel algorithms', 'Stability (and instability)', 'General', 'Economics', 'General', 'General', 'Cognitive simulation', 'Philosophical foundations', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'General', 'General', 'GENERAL', 'General', 'General', 'Security, integrity, and protection**', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'General', 'GENERAL', 'GENERAL', 'General', 'GENERAL', 'GENERAL', 'GENERAL', 'General', 'General', 'Standards', 'General'], ['general', 'general', 'general', 'general', 'general', 'general', 'game', 'general', 'data communication', 'open system interconnection reference model osi', 'security protection eg firewall revised', 'general', 'protection mechanism', 'standard', 'general', 'general', 'general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play', 'general', 'general', 'image display', 'image processing software', 'general', 'hardwaresoftware interface', 'instruction set design eg risc cisc vliw revised', 'modeling computer architecture new', 'system architecture', 'system specification methodology', 'general', 'general', 'general', 'computer arithmetic', 'conditioning illconditioning revised', 'error analysis', 'interval arithmetic new', 'multiple precision arithmetic new', 'numerical algorithm', 'parallel algorithm', 'stability instability', 'general', 'economics', 'general', 'general', 'cognitive simulation', 'philosophical foundation', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'security integrity protection', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'general', 'standard', 'general']]"
v0_064_call_for_papers___9th_national_teachers_science_congress,experiment,"[['G.3'], ['PROBABILITY AND STATISTICS', 'Contingency table analysis (NEW)', 'Correlation and regression analysis (NEW)', 'Distribution functions (NEW)', 'Experimental design (NEW)', 'Markov processes (NEW)', 'Multivariate statistics (NEW)', 'Nonparametric statistics (NEW)', 'Probabilistic algorithms (including Monte Carlo)', 'Queueing theory (NEW)', 'Random number generation', 'Reliability and life testing (NEW)', 'Renewal theory (NEW)', 'Robust regression (NEW)', 'Statistical computing', 'Statistical software', 'Stochastic processes (NEW)', 'Survival analysis (NEW)', 'Time series analysis (NEW)'], ['probability statistic', 'contingency table analysis new', 'correlation regression analysis new', 'distribution function new', 'experimental design new', 'markov process new', 'multivariate statistic new', 'nonparametric statistic new', 'probabilistic algorithm including monte carlo', 'queueing theory new', 'random number generation', 'reliability life testing new', 'renewal theory new', 'robust regression new', 'statistical computing', 'statistical software', 'stochastic process new', 'survival analysis new', 'time series analysis new']]"
v0_064_call_for_papers___9th_national_teachers_science_congress,guidance,"[['H.5.2'], ['User Interfaces (D.2.2, H.1.2, I.3.6)', 'Auditory (non-speech) feedback (NEW)', 'Benchmarking (NEW)', 'Ergonomics', 'Evaluation/methodology', 'Graphical user interfaces (GUI) (NEW)', 'Haptic I/O (NEW)', 'Input devices and strategies (e.g., mouse, touchscreen)', 'Interaction styles (e.g., commands, menus, forms, direct manipulation)', 'Natural language (NEW)', 'Prototyping (NEW)', 'Screen design (e.g., text, graphics, color)', 'Standardization (NEW)', 'Style guides (NEW)', 'Theory and methods', 'Training, help, and documentation', 'User-centered design (NEW)', 'User interface management systems (UIMS)', 'Voice I/O (NEW)', 'Windowing systems'], ['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']]"
v0_064_call_for_papers___9th_national_teachers_science_congress,share,"[['K.8.1'], ['Application Packages', 'Data communications', 'Database processing', 'Freeware/shareware (NEW)', 'Graphics', 'Spreadsheets', 'Word processing'], ['application package', 'data communication', 'database processing', 'freewareshareware new', 'graphic', 'spreadsheet', 'word processing']]"
